name,SMILES,reason
"1-pentadecanol, 14-methyl-",CC(C)CCCCCCCCCCCCCO,kv_40C > 200 cSt
"4,4-dipropyldecane",CCCCCCC(CCC)(CCC)CCC,kv_40C > 200 cSt
3-methylpentadecane,CCCCCCCCCCCCC(C)CC,kv_40C > 200 cSt
2-heptyl-1-nonanol,CCCCCCCC(CO)CCCCCCC,kv_40C > 200 cSt
2-hexyl-1-decanol,CCCCCCCCC(CO)CCCCCC,kv_40C > 200 cSt
2-methyl-1-pentadecanol,CCCCCCCCCCCCCC(C)CO,kv_40C > 200 cSt
2-pentyl-1-undecanol,CCCCCCCCCC(CO)CCCCC,kv_40C > 200 cSt
2-propyl-1-tridecanol,CCCCCCCCCCCC(CO)CCC,kv_40C > 200 cSt
"2,2-dimethyl-1-tetradecanol",CCCCCCCCCCCCC(C)(C)CO,kv_40C > 200 cSt
"2-pentadecanol, 2-methyl-",CCCCCCCCCCCCCC(C)(C)O,kv_40C > 200 cSt
3-ethyl-3-tetradecanol,CCCCCCCCCCCC(O)(CC)CC,kv_40C > 200 cSt
"8,9-hexadecanediol",CCCCCCCC(O)C(O)CCCCCCC,kv_40C > 200 cSt
4-tert-butylphenyl salicylate,CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1,kv_40C > 200 cSt
"2,2-dibenzyl-1,3-propanediol",OCC(CO)(Cc1ccccc1)Cc1ccccc1,kv_40C > 200 cSt
"2,6-bis(1,1-dimethylpropyl)-4-methylphenol",CCC(C)(C)c1cc(C)cc(C(C)(C)CC)c1O,kv_40C > 200 cSt
2-heptadecanol,CCCCCCCCCCCCCCCC(C)O,kv_40C > 200 cSt
"4-tridecanol, 6-methyl-6-propyl-",CCCCCCCC(C)(CCC)CC(O)CCC,kv_40C > 200 cSt
"6-dodecanol, 8-methyl-8-isobutyl-",CCCCCC(O)CC(C)(CCCC)CC(C)C,kv_40C > 200 cSt
2-methylpropyl tetradecanoate,CCCCCCCCCCCCCC(=O)OCC(C)C,kv_40C > 200 cSt
2-octadecanol,CCCCCCCCCCCCCCCCC(C)O,kv_40C > 200 cSt
2-pentylnonyl 2-methylpropanoate,CCCCCCCC(CCCCC)COC(=O)C(C)C,kv_40C > 200 cSt
"3,12-diethyltetradecane",CCC(CC)CCCCCCCCC(CC)CC,kv_40C > 200 cSt
"3,3,7,11,11-pentamethyltridecane",CCC(C)(C)CCCC(C)CCCC(C)(C)CC,kv_40C > 200 cSt
3-ethyl-3-hexadecanol,CCCCCCCCCCCCCC(O)(CC)CC,kv_40C > 200 cSt
"heptadecane, 3-methyl-",CCCCCCCCCCCCCCC(C)CC,kv_40C > 200 cSt
"3,3,7,11,11-pentamethyl-7-tridecanol",CCC(C)(C)CCCC(C)(O)CCCC(C)(C)CC,kv_40C > 200 cSt
7-butyl-7-tetradecanol,CCCCCCCC(O)(CCCC)CCCCCC,kv_40C > 200 cSt
4-methyl-4-octadecanol,CCCCCCCCCCCCCCC(C)(O)CCC,kv_40C > 200 cSt
5-methyl-5-octadecanol,CCCCCCCCCCCCCC(C)(O)CCCC,kv_40C > 200 cSt
6-methyl-6-octadecanol,CCCCCCCCCCCCC(C)(O)CCCCC,kv_40C > 200 cSt
"1-nonanol, 1-ethyl-1-octyl-",CCCCCCCCC(O)(CC)CCCCCCCC,kv_40C > 200 cSt
"heptadecane, 2,4-dimethyl-",CCCCCCCCCCCCCC(C)CC(C)C,kv_40C > 200 cSt
2-nonadecanol,CCCCCCCCCCCCCCCCCC(C)O,kv_40C > 200 cSt
methyl 16-methylheptadecanoate,COC(=O)CCCCCCCCCCCCCCC(C)C,kv_40C > 200 cSt
"3-(1,1-dimethylethyl)-2,2-dimethyl-3-tridecanol",CCCCCCCCCCC(O)(C(C)(C)C)C(C)(C)C,kv_40C > 200 cSt
4-nonadecanol,CCCCCCCCCCCCCCCC(O)CCC,kv_40C > 200 cSt
"7-tridecanol, 7-hexyl-",CCCCCCC(O)(CCCCCC)CCCCCC,kv_40C > 200 cSt
"4-(.alpha.,.alpha.-diphenylethyl)phenol",CC(c1ccccc1)(c1ccccc1)c1ccc(O)cc1,kv_40C > 200 cSt
"3,7,11,15-tetramethyl-1-hexadecyn-3-ol",C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,kv_40C > 200 cSt
"3,7,11,15-tetramethyl-1-hexadecen-3-ol",C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,kv_40C > 200 cSt
3-ethyl-3-octadecanol,CCCCCCCCCCCCCCCC(O)(CC)CC,kv_40C > 200 cSt
"1-dodecanol, 2-octyl-",CCCCCCCCCCC(CO)CCCCCCCC,kv_40C > 200 cSt
2-eicosanol,CCCCCCCCCCCCCCCCCCC(C)O,kv_40C > 200 cSt
"2,6,11,15-tetramethyl-8-hexadecanol",CC(C)CCCC(C)CCC(O)CC(C)CCCC(C)C,kv_40C > 200 cSt
4-eicosanol,CCCCCCCCCCCCCCCCC(O)CCC,kv_40C > 200 cSt
6-eicosanol,CCCCCCCCCCCCCCC(O)CCCCC,kv_40C > 200 cSt
eicosanaldehyde,CCCCCCCCCCCCCCCCCCCC=O,kv_40C > 200 cSt
8-eicosanol,CCCCCCCCCCCCC(O)CCCCCCC,kv_40C > 200 cSt
"7-tridecanol, 2,2,4,7,10,12,12-heptamethyl-",CC(CCC(C)(O)CCC(C)CC(C)(C)C)CC(C)(C)C,kv_40C > 200 cSt
"1,1,3-tricyclohexylpropane",C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1,kv_40C > 200 cSt
"phenanthrene, 3,9-bis(1,1-dimethylethyl)-",CC(C)(C)c1ccc2cc(C(C)(C)C)c3ccccc3c2c1,kv_40C > 200 cSt
"1,2,3-propanetriol",OCC(O)CO,kv_40C > 200 cSt
"1,2,3-butanetriol",CC(O)C(O)CO,kv_40C > 200 cSt
"1,2,4-butanetriol",OCCC(O)CO,kv_40C > 200 cSt
"1,3,5-pentanetriol",OCCC(O)CCO,kv_40C > 200 cSt
"2,3,4-pentanetriol",CC(O)C(O)C(C)O,kv_40C > 200 cSt
4-methoxypentanoic acid,COC(C)CCC(=O)O,kv_40C > 200 cSt
.beta.-D-glucopyranose,OCC1OC(O)C(O)C(O)C1O,kv_40C > 200 cSt
DL-fructose,OCC1(O)OCC(O)C(O)C1O,kv_40C > 200 cSt
3-deoxy-D-glucose,O=C[C@@H](O)C[C@@H](O)[C@@H](O)CO,kv_40C > 200 cSt
"3-ethyl-1,2,4-butanetriol",CCC(CO)C(O)CO,kv_40C > 200 cSt
glucitol,OCC(O)C(O)C(O)C(O)CO,kv_40C > 200 cSt
mannitol,OCC(O)=C(O)C(O)=C(O)CO,kv_40C > 200 cSt
"1,4,7-heptanetriol",OCCCC(O)CCCO,kv_40C > 200 cSt
isovanillic acid,COc1ccc(C(=O)O)cc1O,kv_40C > 200 cSt
syringic acid,COc1cc(C(=O)O)cc(OC)c1O,kv_40C > 200 cSt
"3-(3-4,-dihydroxyphenyl)propanoic acid",O=C(O)CCc1ccc(O)c(O)c1,kv_40C > 200 cSt
3-(2-hydroxyphenyl)-2-propenoic acid,O=C(O)C=Cc1ccccc1O,kv_40C > 200 cSt
trans-m-hydroxycinnamic acid,O=C(O)C=Cc1cccc(O)c1,kv_40C > 200 cSt
trans-o-hydroxycinnamic acid,O=C(O)C=Cc1ccccc1O,kv_40C > 200 cSt
